название;имя_художника;стоимость;примерная_оценка;материал;размер;страна;период;стиль;жанр
Elegant Lotus;ZHANG DAQIAN;HKD 1,386,000;HKD 1,000,000 - 1,500,000;;99.1 x 33.8 cm;Китай;1899-1983;Traditional Chinese Style;Traditional Chinese Painting
Persimmons;ZHANG DAQIAN;HKD 1,071,000;HKD 400,000 - 500,000;;69.4 x 41 cm;Китай;1899-1983;Traditional Chinese Style;Traditional Chinese Painting
Scholar and Chrysanthemums;ZHANG DAQIAN;;HKD 500,000 - 700,000;;69.5 x 39.1 cm;Китай;1899-1983;Traditional Chinese Style;Traditional Chinese Painting
Strolling in Mountains;ZHANG DAQIAN;HKD 1,071,000;HKD 800,000 - 1,200,000;;90.9 x 49 cm;Китай;1899-1983;Traditional Chinese Style;Traditional Chinese Painting
Misty Landscape by the Lake;ZHANG DAQIAN;HKD 3,528,000;HKD 2,500,000 - 3,000,000;;40.2 x 84.8 cm;Китай;1899-1983;Traditional Chinese Style;Traditional Chinese Painting
Scholar and Attendant Carrying a Qin;ZHANG DAQIAN;HKD 2,394,000;HKD 1,500,000 - 2,000,000;;133.1 x 67.3 cm;Китай;1899-1983;Traditional Chinese Style;Traditional Chinese Painting
Symbols of Longevity;ZHANG DAQIAN;HKD 252,000;HKD 200,000 - 300,000;;47 x 64 cm;Китай;1899-1983;Traditional Chinese Style;Traditional Chinese Painting
Apricot Blossom and Parrot;YU FEI'AN;;HKD 200,000 - 300,000;;27 x 24 cm;Китай;1888-1959;Traditional Chinese Style;Traditional Chinese Painting
Viewing Waterfall;HUANG JUNBI;HKD 81,900;HKD 80,000 - 120,000;;53 x 89.5 cm;Китай;1898-1991;Traditional Chinese Style;Traditional Chinese Painting
Viewing Waterfall in Autumn Mountains;HUANG JUNBI;;HKD 400,000 - 600,000;;91 x 182.5 cm;Китай;1898-1991;Traditional Chinese Style;Traditional Chinese Painting
Viewing Wild Geese Return;PU RU;HKD 327,600;HKD 300,000 - 500,000;;24.7 x 24.7 cm;Китай;1896-1963;Traditional Chinese Style;Traditional Chinese Painting
Mountain Cloud;PU RU;HKD 327,600;HKD 300,000 - 500,000;;24.9 x 24.5 cm;Китай;1896-1963;Traditional Chinese Style;Traditional Chinese Painting
Calligraphy in Regular Script / Autumn Scenery;PU RU;HKD 945,000;HKD 200,000 - 300,000;;21.6 x 77.8 cm;Китай;1896-1963;Traditional Chinese Style;Traditional Chinese Painting
Blossoms;ZHANG SHANZI;;HKD 300,000 - 400,000;;19.8 x 260 cm;Китай;1882-1940;Traditional Chinese Style;Traditional Chinese Painting
Horse Scratching;XU BEIHONG;HKD 5,670,000;HKD 3,000,000 - 5,000,000;;128.5 x 75.3 cm;Китай;1895-1953;Traditional Chinese Style;Traditional Chinese Painting
Standing Horse;XU BEIHONG;HKD 4,662,000;HKD 2,200,000 - 3,200,000;;112 x 54.3 cm;Китай;1895-1953;Traditional Chinese Style;Traditional Chinese Painting
Two Sparrows and Reeds;XU BEIHONG;HKD 378,000;HKD 280,000 - 380,000;;44 x 55.5 cm;Китай;1895-1953;Traditional Chinese Style;Traditional Chinese Painting
Magpie by Red Leaves;XU BEIHONG;HKD 882,000;HKD 700,000 - 900,000;;79 x 33.7 cm;Китай;1895-1953;Traditional Chinese Style;Traditional Chinese Painting
Appreciating Paintings under Trees;FU BAOSHI;HKD 4,410,000;HKD 3,000,000 - 5,000,000;;47.3 x 66.3 cm;Китай;1904-1965;Traditional Chinese Style;Traditional Chinese Painting
Reciting Poetry by the Willow Bank;FU BAOSHI;;HKD 1,800,000 - 2,800,000;;47.7 x 49 cm;Китай;1904-1965;Traditional Chinese Style;Traditional Chinese Painting
Evening on the Lake;RAO ZONGYI;HKD 100,800;HKD 80,000 - 120,000;;136.1 x 34.7 cm;Китай;1917-2018;Traditional Chinese Style;Traditional Chinese Painting
Bamboo and Rock;WU CHANGSHUO;HKD 277,200;HKD 260,000 - 360,000;;164.1 x 40.1 cm;Китай;1844-1927;Traditional Chinese Style;Traditional Chinese Painting
Flower and Calligraphy;WU CHANGSHUO;HKD 1,386,000;HKD 600,000 - 1,000,000;;24.7 x 31.3 cm;Китай;1844-1927;Traditional Chinese Style;Traditional Chinese Painting
Calligraphy;HONGYI;HKD 1,386,000;HKD 300,000 - 500,000;;27.5 x 32.5 cm;Китай;1880-1942;Traditional Chinese Style;Traditional Chinese Painting
Scholars Boating;SU MANSHU;;HKD 80,000 - 120,000;;55.4 x 30 cm;Китай;1884-1918;Traditional Chinese Style;Traditional Chinese Painting
Buddhas and Lady;LÜ FENGZI;HKD 327,600;HKD 100,000 - 150,000;;85 x 33.5 cm;Китай;1886-1959;Traditional Chinese Style;Traditional Chinese Painting
Four Arhats;LÜ FENGZI;;HKD 150,000 - 250,000;;69 x 116 cm;Китай;1886-1959;Traditional Chinese Style;Traditional Chinese Painting
Pines and Clouds on Mount Huang;SONG WENZHI;HKD 81,900;HKD 60,000 - 80,000;;70.7 x 44.4 cm;Китай;1919-1999;Traditional Chinese Style;Traditional Chinese Painting
Waterfall by the Old Pine;WEI ZIXI;HKD 60,480;HKD 30,000 - 50,000;;90.6 x 48 cm;Китай;1915-2002;Traditional Chinese Style;Traditional Chinese Painting
Mountains and Running Streams;LU YANSHAO;HKD 327,600;HKD 200,000 - 300,000;;67.3 x 45.7 cm;Китай;1909-1993;Traditional Chinese Style;Traditional Chinese Painting
Calligraphy in Running Script;HONGYI;HKD 126,000;HKD 100,000 - 200,000;;39 x 33.5 cm;Китай;1880-1942;Traditional Chinese Style;Traditional Chinese Painting
Calligraphy;SHEN YINMO;HKD 60,480;HKD 60,000 - 80,000;;33.8 x 97.8 cm;Китай;1887-1971;Traditional Chinese Style;Traditional Chinese Painting
Calligraphy in Running Script;SHEN YINMO;HKD 189,000;HKD 80,000 - 120,000;;130 x 33 cm;Китай;1887-1971;Traditional Chinese Style;Traditional Chinese Painting
Calligraphic Couplet;SHEN ZENGZHI;HKD 81,900;HKD 60,000 - 80,000;;143 x 34 cm;Китай;1850-1922;Traditional Chinese Style;Traditional Chinese Painting
Rubbing of the Stone Sculpture of the Heavenly Guardian;JI CHONGJIAN;HKD 252,000;HKD 80,000 - 120,000;;122 x 58.5 cm;Китай;B. 1955;Traditional Chinese Style;Traditional Chinese Painting
Dancing Cranes;LIN HUKUI;HKD 504,000;HKD 260,000 - 350,000;;96 x 126 cm;Китай;LAM WU-FUI, B. 1945;Traditional Chinese Style;Traditional Chinese Painting
Leopard on Pine;LIU MENGKUAN;HKD 214,200;HKD 160,000 - 260,000;;84 x 187 cm;Китай;B. 1950;Traditional Chinese Style;Traditional Chinese Painting
View from Clear Water Bay Studio;WONG HAU KWEI;HKD 81,900;HKD 70,000 - 90,000;;58 x 140 cm;Китай;HUANG XIAOKUI, B. 1946;Traditional Chinese Style;Traditional Chinese Painting
Untrammeled Vision of Lotus (7);LOUIS MAK;HKD 119,700;HKD 80,000 - 120,000;;95 x 60 cm;Китай;MAI LUOWU, B. 1946;Traditional Chinese Style;Traditional Chinese Painting
Lotus at the Window;SIU FUN KEE;HKD 100,800;HKD 80,000 - 120,000;;76.5 x 56.5 cm;Китай;XIAO FENQI, B.1975;Traditional Chinese Style;Traditional Chinese Painting
