title,artist,material,material_group,width_cm,height_cm,area_cm2,country,period_raw,birth_year,death_year,period_mid_year,style,genre,estimate_low_eur,estimate_high_eur,estimate_mid_eur,sale_price_eur,price_category
Spring River in Mountains,GU YI,Unknown,Unknown,88.5,40.2,3557.7,China,1882-1941,1882,1941,1912,Traditional Chinese Art,Unknown,1096,2192,1644,1105,Low
Landscape,WITH SIGNATURE OF LAN YING,Unknown,Unknown,38.5,17.5,673.75,China,16TH-17TH CENTURY,,,,Traditional Chinese Art,Unknown,3288,5480,4384,1519,Low
Cai Yan's Return to Han,SU LIUPENG,Unknown,Unknown,110.8,41.0,4542.8,China,CIRCA 1796-1862,1796,1862,1829,Traditional Chinese Art,Unknown,3288,5480,4384,4834,Low
Figure,WANG QI,Unknown,Unknown,98.6,21.0,2070.6,China,1776-1840,1776,1840,1808,Traditional Chinese Art,Unknown,1096,2192,1644,,
Flowers,ZHANG XIONG,Unknown,Unknown,122.7,31.4,3852.78,China,1803-1886,1803,1886,1844,Traditional Chinese Art,Unknown,2192,3288,2740,1933,Low
Flowers,XIE GUANSHENG,Unknown,Unknown,35.2,421.2,14826.24,China,LATE 18TH-EARLY 19TH CENTURY,,,,Traditional Chinese Art,Unknown,6576,10960,8768,,
Calligraphy in Stone-drum Script / Landscape,YI LIXUN,Unknown,Unknown,126.2,36.3,4581.06,China,1848-1899,1848,1899,1874,Traditional Chinese Art,Unknown,2192,4384,3288,,
Chrysanthemum and Rock / Wisteria,LÜ YUAN,Unknown,Unknown,100.0,35.0,3500.0,China,QING DYNASTY,,,,Traditional Chinese Art,Unknown,2192,4384,3288,,
Seven-character Poem in Regular Script,ZHANG BAIXI,Unknown,Unknown,173.8,82.1,14268.98,China,1847-1907,1847,1907,1877,Traditional Chinese Art,Unknown,5480,7672,6576,2762,Low
Seven-character Poem in Running Script,CHEN YIXI,Unknown,Unknown,118.6,42.4,5028.64,China,1648-1709,1648,1709,1678,Traditional Chinese Art,Unknown,8768,13152,10960,,
Five-character Poem in Cursive Script,HUANG YUANZHEN,Unknown,Unknown,127.6,44.8,5716.48,China,17TH-18TH CENTURY,,,,Traditional Chinese Art,Unknown,4384,6576,5480,,
Calligraphy in Running Script,SHEN QUAN,Unknown,Unknown,73.4,26.7,1959.78,China,1624-1684,1624,1684,1654,Traditional Chinese Art,Unknown,4384,6576,5480,,
The Family Instructions of Zhu Xi,ZENG GUOQUAN,Unknown,Unknown,168.5,42.0,7077.0,China,1824-1890,1824,1890,1857,Traditional Chinese Art,Unknown,4384,6576,5480,5524,Low
Calligraphy,XU BAOGUANG,Unknown,Unknown,126.5,43.8,5540.7,China,1671-1723,1671,1723,1697,Traditional Chinese Art,Unknown,3288,5480,4384,3591,Low
Seven-character Poem by Xu Fang in Running Cursive Script,HE ZHUO,Unknown,Unknown,111.2,38.0,4225.6,China,1661-1722,1661,1722,1692,Traditional Chinese Art,Unknown,4384,6576,5480,,
Five-character Poem by Yu Hu in Running Cursive Script,CHEN JIRU,Unknown,Unknown,129.5,28.0,3626.0,China,1558-1639,1558,1639,1598,Traditional Chinese Art,Unknown,13152,19729,16440,,
,YUAN SHANGTONG,Unknown,Unknown,63.8,37.5,2392.5,China,1570-CIRCA 1661,1570,1661,1616,Traditional Chinese Art,Unknown,3288,4384,3836,3038,Low
Landscapes,CHENG JIASUI,Unknown,Unknown,23.3,14.5,337.85,China,1565-1643,1565,1643,1604,Traditional Chinese Art,Unknown,3288,5480,4384,4834,Low
Correspondences / Figures,MU'AN XINGTAO,Unknown,Unknown,17.5,29.0,507.5,China,1600-1684,1600,1684,1642,Traditional Chinese Art,Unknown,6576,8768,7672,,
Seven-character Calligraphic Couplet in Running Standard Script,QI GONG,Unknown,Unknown,126.0,32.0,4032.0,China,1912-2005,1912,2005,1958,Traditional Chinese Art,Traditional Chinese Painting,8768,13152,10960,38668,High
Calligraphy,QI GONG,Unknown,Unknown,95.0,48.0,4560.0,China,1912-2005,1912,2005,1958,Traditional Chinese Art,Traditional Chinese Painting,6576,8768,7672,22096,High
Shrimps,QI BAISHI,Unknown,Unknown,97.0,34.0,3298.0,China,1863-1957,1863,1957,1910,Traditional Chinese Art,Traditional Chinese Painting,24113,38361,31237,62145,Premium
Shrimps,QI BAISHI,Unknown,Unknown,104.0,34.0,3536.0,China,1863-1957,1863,1957,1910,Traditional Chinese Art,Traditional Chinese Painting,28497,43841,36169,69050,Premium
Five-character Calligraphic Couplet in Oracle Bone Script,RAO ZONGYI,Unknown,Unknown,114.0,20.5,2337.0,China,1917-2018,1917,2018,1968,Traditional Chinese Art,Traditional Chinese Painting,4384,6576,5480,11739,Medium
Five-character Calligraphic Couplet,TAI JINGNONG,Unknown,Unknown,93.5,20.0,1870.0,China,1903-1990,1903,1990,1946,Traditional Chinese Art,Traditional Chinese Painting,2192,3288,2740,5524,Low
Calligraphy,QIAN MU,Unknown,Unknown,107.0,33.3,3563.1,China,1895-1990,1895,1990,1942,Traditional Chinese Art,Traditional Chinese Painting,3288,5480,4384,17953,Medium
"Bamboo, Rock and Frog",DING YANYONG,Unknown,Unknown,140.0,34.5,4830.0,China,1902-1978,1902,1978,1940,Traditional Chinese Art,Traditional Chinese Painting,2192,3288,2740,4143,Low
Mandarin Ducks in Lotus Pond,DING YANYONG,Unknown,Unknown,70.0,138.5,9695.0,China,1902-1978,1902,1978,1940,Traditional Chinese Art,Traditional Chinese Painting,3288,5480,4384,8977,Medium
Bird on Bamboo,DING YANYONG,Unknown,Unknown,137.5,68.8,9460.0,China,1902-1978,1902,1978,1940,Traditional Chinese Art,Traditional Chinese Painting,7672,9864,8768,8286,Medium
Pheasant and Magnolia,DING YANYONG,Unknown,Unknown,139.2,69.9,9730.08,China,1902-1978,1902,1978,1940,Traditional Chinese Art,Traditional Chinese Painting,6576,8768,7672,6629,Medium
Travelling Among Mountains,DING YANYONG,Unknown,Unknown,137.5,69.0,9487.5,China,1902-1978,1902,1978,1940,Traditional Chinese Art,Traditional Chinese Painting,6576,8768,7672,9667,Medium
Dragon Boat Racing,DING YANYONG,Unknown,Unknown,180.0,97.0,17460.0,China,1902-1978,1902,1978,1940,Traditional Chinese Art,Traditional Chinese Painting,16441,27401,21921,35906,High
Willow and Swallows,FENG ZIKAI,Unknown,Unknown,29.0,34.0,986.0,China,1898-1975,1898,1975,1936,Traditional Chinese Art,Traditional Chinese Painting,10960,21921,16440,35906,High
Eldest Grandson Holding the Youngest Son,FENG ZIKAI,Unknown,Unknown,33.2,26.6,883.12,China,1898-1975,1898,1975,1936,Traditional Chinese Art,Traditional Chinese Painting,19729,30689,25209,,
Butterflies Love Flowers,FENG ZIKAI,Unknown,Unknown,34.6,27.6,954.96,China,1898-1975,1898,1975,1936,Traditional Chinese Art,Traditional Chinese Painting,5480,8768,7124,13810,Medium
Celebrating Harvest,FENG ZIKAI,Unknown,Unknown,27.0,35.3,953.1,China,1898-1975,1898,1975,1936,Traditional Chinese Art,Traditional Chinese Painting,6576,13152,9864,6905,Medium
Wu Gorge,FANG ZHAOLING,Unknown,Unknown,48.7,137.5,6696.25,China,1914-2006,1914,2006,1960,Traditional Chinese Art,Traditional Chinese Painting,6576,8768,7672,8286,Medium
Lucky Day,SHI HU,Unknown,Unknown,153.0,95.5,14611.5,China,1942-2023,1942,2023,1982,Traditional Chinese Art,Traditional Chinese Painting,13152,21921,17536,34525,High
Village,CHEN QIKUAN,Unknown,Unknown,119.5,23.0,2748.5,China,"CHEN CHI-KWAN, 1921-2007",1921,2007,1964,Traditional Chinese Art,Traditional Chinese Painting,10960,21921,16440,41430,High
Misty and Snowy Landscape,SU CHUNG-MING,Unknown,Unknown,69.0,136.3,9404.7,China,B. 1965,1965,,1965,Traditional Chinese Art,Traditional Chinese Painting,7672,10960,9316,9667,Medium
Fragrant Breeze Across the Wilderness Ford,ZHU XIAOQING,Unknown,Unknown,34.6,92.1,3186.66,China,B. 1986,1986,,1986,Traditional Chinese Art,Traditional Chinese Painting,8768,16441,12604,11739,Medium
Let Your Dreams Lead You,SUN HAO,Unknown,Unknown,123.0,96.0,11808.0,China,B. 1980,1980,,1980,Traditional Chinese Art,Traditional Chinese Painting,13152,19729,16440,17953,Medium
Mountain Peaks on a Clear Day,TAI XIANGZHOU,Unknown,Unknown,45.2,292.3,13211.96,China,B. 1968,1968,,1968,Traditional Chinese Art,Traditional Chinese Painting,54802,87683,71242,55240,Premium
Landscape,LI HUAYI,Unknown,Unknown,178.5,93.5,16689.75,China,B. 1948,1948,,1948,Traditional Chinese Art,Traditional Chinese Painting,263048,383612,323330,,
Pine Trees in the Mountains,LI XIONGCAI,Unknown,Unknown,66.7,132.8,8857.76,China,1910-2001,1910,2001,1956,Traditional Chinese Art,Traditional Chinese Painting,43841,65762,54801,58002,Premium
A Farm Girl,GUAN SHANYUE,Unknown,Unknown,101.0,55.0,5555.0,China,1912-2000,1912,2000,1956,Traditional Chinese Art,Traditional Chinese Painting,32881,54802,43841,75955,Premium
Pine and Waterfall,LI XIONGCAI,Unknown,Unknown,67.5,136.0,9180.0,China,1910-2001,1910,2001,1956,Traditional Chinese Art,Traditional Chinese Painting,27401,49322,38361,,
Gladiolus and Bees,ZHAO SHAO'ANG,Unknown,Unknown,83.5,40.5,3381.75,China,1905-1998,1905,1998,1952,Traditional Chinese Art,Traditional Chinese Painting,8768,13152,10960,22096,High
Two Egrets in Lotus Pond,ZHAO SHAO’ANG,Unknown,Unknown,104.3,59.5,6205.85,China,1905-1998,1905,1998,1952,Traditional Chinese Art,Traditional Chinese Painting,13152,19729,16440,22096,High
Tigers Den,YANG SHANSHEN,Unknown,Unknown,154.0,76.3,11750.2,China,1913-2004,1913,2004,1958,Traditional Chinese Art,Traditional Chinese Painting,43841,87683,65762,69050,Premium
Skulls / Flying Fish,GAO JIANFU,Unknown,Unknown,34.6,47.6,1646.96,China,1879-1951,1879,1951,1915,Traditional Chinese Art,Traditional Chinese Painting,13152,19729,16440,16572,Medium
Longevity Crane,YANG SHANSHEN,Unknown,Unknown,140.0,59.8,8372.0,China,1913-2004,1913,2004,1958,Traditional Chinese Art,Traditional Chinese Painting,6576,8768,7672,8286,Medium
Birds on Branches,ZHAO SHAO'ANG,Unknown,Unknown,57.5,7.0,402.5,China,1905-1998,1905,1998,1952,Traditional Chinese Art,Traditional Chinese Painting,6576,8768,7672,6629,Medium
Goat,YANG SHANSHEN,Unknown,Unknown,50.0,54.0,2700.0,China,1913-2004,1913,2004,1958,Traditional Chinese Art,Traditional Chinese Painting,6576,8768,7672,12429,Medium
Rooster,YANG SHANSHEN,Unknown,Unknown,92.0,39.0,3588.0,China,1913-2004,1913,2004,1958,Traditional Chinese Art,Traditional Chinese Painting,5480,8768,7124,,
Flying Eagle,ZHAO SHAO’ANG,Unknown,Unknown,101.0,46.5,4696.5,China,1905-1998,1905,1998,1952,Traditional Chinese Art,Traditional Chinese Painting,8768,16441,12604,,
Maple Leaves and Birds,ZHAO SHAO’ANG,Unknown,Unknown,46.0,96.3,4429.8,China,1905-1998,1905,1998,1952,Traditional Chinese Art,Traditional Chinese Painting,6576,8768,7672,11739,Medium
Lady Holding Mirror,LIN FENGMIAN,Unknown,Unknown,68.0,68.4,4651.2,China,1900-1991,1900,1991,1946,Traditional Chinese Art,Traditional Chinese Painting,197286,306890,252088,248581,Premium
Three Friends in Company in Wintry Times,WU GUANZHONG,Unknown,Unknown,68.5,137.1,9391.35,China,1919-2010,1919,2010,1964,Traditional Chinese Art,Traditional Chinese Painting,548017,767224,657620,966702,Premium
Scene of Jiangnan,WU GUANZHONG,Unknown,Unknown,45.2,87.3,3945.96,China,1919-2010,1919,2010,1964,Traditional Chinese Art,Traditional Chinese Painting,87683,131524,109603,96670,Premium
Farewell My Concubine,LIN FENGMIAN,Unknown,Unknown,65.4,64.0,4185.6,China,1900-1991,1900,1991,1946,Traditional Chinese Art,Traditional Chinese Painting,284969,394572,339770,621452,Premium
Opera Figure,LIN FENGMIAN,Unknown,Unknown,35.1,22.2,779.22,China,1900-1991,1900,1991,1946,Traditional Chinese Art,Traditional Chinese Painting,43841,65762,54801,48335,High
Sailing on Riverbank,LIN FENGMIAN,Unknown,Unknown,67.8,67.9,4603.62,China,1900-1991,1900,1991,1946,Traditional Chinese Art,Traditional Chinese Painting,98643,131524,115083,,
Mountains of Li River,BAI XUESHI,Unknown,Unknown,33.7,277.1,9338.27,China,1915-2011,1915,2011,1963,Traditional Chinese Art,Traditional Chinese Painting,28497,43841,36169,38668,High
Pine and Clouds of Mount Huang,BAI XUESHI,Unknown,Unknown,49.7,136.7,6793.99,China,1915-2011,1915,2011,1963,Traditional Chinese Art,Traditional Chinese Painting,13152,17537,15344,24858,High
Evergreen in Jinggang Mountain,SONG WENZHI,Unknown,Unknown,71.3,180.0,12834.0,China,1919-1999,1919,1999,1959,Traditional Chinese Art,Traditional Chinese Painting,21921,32881,27401,,
Indian Dancer,YE QIANYU,Unknown,Unknown,68.5,45.0,3082.5,China,1907-1995,1907,1995,1951,Traditional Chinese Art,Traditional Chinese Painting,8768,13152,10960,8977,Medium
Calligraphy,LI KERAN,Unknown,Unknown,97.0,44.5,4316.5,China,1907-1989,1907,1989,1948,Traditional Chinese Art,Traditional Chinese Painting,13152,24113,18632,30382,High
Five Buffaloes,LI KERAN,Unknown,Unknown,66.0,98.0,6468.0,China,1907-1989,1907,1989,1948,Traditional Chinese Art,Traditional Chinese Painting,109603,164405,137004,110480,Premium
Peonies,SHI LU,Unknown,Unknown,130.3,70.6,9199.18,China,1919-1982,1919,1982,1950,Traditional Chinese Art,Traditional Chinese Painting,32881,54802,43841,103575,Premium
Girl Picking Mulberry,SHI LU,Unknown,Unknown,65.0,50.2,3263.0,China,1919-1982,1919,1982,1950,Traditional Chinese Art,Traditional Chinese Painting,54802,87683,71242,193340,Premium
The Celebration,HUANG ZHOU,Unknown,Unknown,63.5,141.5,8985.25,China,1925-1997,1925,1997,1961,Traditional Chinese Art,Traditional Chinese Painting,219207,328810,274008,331441,Premium
Conquering the Yellow River,HE HAIXIA,Unknown,Unknown,136.4,68.7,9370.68,China,1908-1998,1908,1998,1953,Traditional Chinese Art,Traditional Chinese Painting,54802,76722,65762,55240,Premium
Doctor Visiting Her Patients,HUANG ZHOU,Unknown,Unknown,97.0,61.8,5994.6,China,1925-1997,1925,1997,1961,Traditional Chinese Art,Traditional Chinese Painting,38361,49322,43841,48335,High
Chicks,QI BAISHI,Unknown,Unknown,62.5,32.6,2037.5,China,1863-1957,1863,1957,1910,Traditional Chinese Art,Traditional Chinese Painting,43841,65762,54801,,
Lotus and Frogs,QI BAISHI,Unknown,Unknown,67.9,30.9,2098.11,China,1863-1957,1863,1957,1910,Traditional Chinese Art,Traditional Chinese Painting,49322,65762,57542,,
Autumn Delights,QI BAISHI,Unknown,Unknown,101.5,34.2,3471.3,China,1863-1957,1863,1957,1910,Traditional Chinese Art,Traditional Chinese Painting,65762,87683,76722,,
Blessings from the Sky,QI BAISHI,Unknown,Unknown,128.0,48.3,6182.4,China,1863-1957,1863,1957,1910,Traditional Chinese Art,Traditional Chinese Painting,164405,328810,246607,220961,Premium
Orchid,XU BEIHONG,Unknown,Unknown,35.5,14.0,497.0,China,1895-1953,1895,1953,1924,Traditional Chinese Art,Traditional Chinese Painting,21921,32881,27401,,
Rooster,XU BEIHONG,Unknown,Unknown,84.0,42.0,3528.0,China,1895-1953,1895,1953,1924,Traditional Chinese Art,Traditional Chinese Painting,54802,87683,71242,165720,Premium
Fragrance of Spring Flowers,HUANG YONGYU,Unknown,Unknown,136.5,69.0,9418.5,China,1924-2023,1924,2023,1974,Traditional Chinese Art,Traditional Chinese Painting,43841,65762,54801,62145,Premium
Red Lotus,HUANG YONGYU,Unknown,Unknown,90.0,96.5,8685.0,China,1924-2023,1924,2023,1974,Traditional Chinese Art,Traditional Chinese Painting,21921,32881,27401,20715,High
Drunken Rooster,HUANG YONGYU,Unknown,Unknown,67.0,68.5,4589.5,China,1924-2023,1924,2023,1974,Traditional Chinese Art,Traditional Chinese Painting,10960,21921,16440,20715,High
Letter to Pok Shau-fu,ZHANG DAQIAN,Unknown,Unknown,33.5,68.0,2278.0,China,1899-1983,1899,1983,1941,Traditional Chinese Art,Traditional Chinese Painting,10960,21921,16440,19334,High
Sailing Across Gorge,ZHANG DAQIAN,Unknown,Unknown,91.0,48.5,4413.5,China,1899-1983,1899,1983,1941,Traditional Chinese Art,Traditional Chinese Painting,54802,87683,71242,96670,Premium
Scholar and Chrysanthemum,ZHANG DAQIAN,Unknown,Unknown,99.6,55.1,5487.96,China,1899-1983,1899,1983,1941,Traditional Chinese Art,Traditional Chinese Painting,65762,87683,76722,,
Cat and Butterfly,ZHANG DAQIAN,Unknown,Unknown,69.2,34.8,2408.16,China,1899-1983,1899,1983,1941,Traditional Chinese Art,Traditional Chinese Painting,54802,76722,65762,55240,Premium
Scholar by a Lush Tree,ZHANG DAQIAN,Unknown,Unknown,137.4,69.5,9549.3,China,1899-1983,1899,1983,1941,Traditional Chinese Art,Traditional Chinese Painting,350731,548017,449374,386681,Premium
Bamboo and Orchid,ZHANG DAQIAN,Unknown,Unknown,87.6,43.5,3810.6,China,1899-1983,1899,1983,1941,Traditional Chinese Art,Traditional Chinese Painting,38361,60282,49321,55240,Premium
Peonies,ZHANG DAQIAN,Unknown,Unknown,96.5,48.5,4680.25,China,1899-1983,1899,1983,1941,Traditional Chinese Art,Traditional Chinese Painting,43841,65762,54801,,
Ink Lotus,ZHANG DAQIAN,Unknown,Unknown,135.4,69.5,9410.3,China,1899-1983,1899,1983,1941,Traditional Chinese Art,Traditional Chinese Painting,131524,197286,164405,138100,Premium
Lake and Mountains in Spring,ZHANG DAQIAN,Unknown,Unknown,44.6,74.9,3340.54,China,1899-1983,1899,1983,1941,Traditional Chinese Art,Traditional Chinese Painting,164405,274009,219207,248581,Premium
Scholar under Willow,ZHANG DAQIAN,Unknown,Unknown,90.5,45.3,4099.65,China,1899-1983,1899,1983,1941,Traditional Chinese Art,Traditional Chinese Painting,164405,274009,219207,,
"Bamboo, Plum Blossoms and Birds",XIE ZHILIU,Unknown,Unknown,121.5,25.5,3098.25,China,1910-1997,1910,1997,1954,Traditional Chinese Art,Traditional Chinese Painting,21921,43841,32881,27620,High
Lady in the Song Style,XIE ZHILIU,Unknown,Unknown,83.0,49.5,4108.5,China,1910-1997,1910,1997,1954,Traditional Chinese Art,Traditional Chinese Painting,54802,87683,71242,69050,Premium
Seven-character Calligraphic Couplet in Cursive Script,PU RU,Unknown,Unknown,90.0,21.5,1935.0,China,1896-1963,1896,1963,1930,Traditional Chinese Art,Traditional Chinese Painting,5480,7672,6576,6215,Medium
Amitayus Buddha,PU RU,Unknown,Unknown,88.8,45.3,4022.64,China,1896-1963,1896,1963,1930,Traditional Chinese Art,Traditional Chinese Painting,16441,27401,21921,30382,High
Flower in a Vase,PU RU,Unknown,Unknown,77.1,37.4,2883.54,China,1896-1963,1896,1963,1930,Traditional Chinese Art,Traditional Chinese Painting,54802,76722,65762,165720,Premium
Scholar under a Banana Tree,ZHANG DAQIAN,Unknown,Unknown,132.5,67.0,8877.5,China,1899-1983,1899,1983,1941,Traditional Chinese Art,Traditional Chinese Painting,43841,65762,54801,66288,Premium
Journey in the Mountains,PU RU,Unknown,Unknown,62.5,27.6,1725.0,China,1896-1963,1896,1963,1930,Traditional Chinese Art,Traditional Chinese Painting,8768,13152,10960,15191,Medium
Horse and Groom,PU RU,Unknown,Unknown,30.0,17.5,525.0,China,1896-1963,1896,1963,1930,Traditional Chinese Art,Traditional Chinese Painting,16441,27401,21921,96670,Premium
Landscapes in Four Seasons,HUANG JUNBI,Unknown,Unknown,113.8,25.7,2924.66,China,1898-1991,1898,1991,1944,Traditional Chinese Art,Traditional Chinese Painting,17537,24113,20825,35906,High
Letter from Chiang Kai-Shek to K. C. Wu,CHIANG KAI-SHEK,Unknown,Unknown,30.0,20.5,615.0,China,1887-1975,1887,1975,1931,Traditional Chinese Art,Traditional Chinese Painting,10960,21921,16440,12429,Medium
Five-character Self-composed Poem in Running Script,WANG JINGWEI,Unknown,Unknown,122.8,40.2,4936.56,China,1883-1944,1883,1944,1914,Traditional Chinese Art,Traditional Chinese Painting,6576,8768,7672,11739,Medium
Calligraphy in Standard Script,SUN WEN,Unknown,Unknown,27.5,79.5,2186.25,China,1866-1925,1866,1925,1896,Traditional Chinese Art,Traditional Chinese Painting,28497,32881,30689,165720,Premium
Seven-character Self-composed Poem in Running Script,KANG YOUWEI,Unknown,Unknown,80.0,42.2,3376.0,China,1858-1927,1858,1927,1892,Traditional Chinese Art,Traditional Chinese Painting,5480,7672,6576,8286,Medium
Calligraphy in Regular Script,LIANG QICHAO,Unknown,Unknown,68.0,30.2,2053.6,China,1873-1929,1873,1929,1901,Traditional Chinese Art,Traditional Chinese Painting,8768,13152,10960,48335,High
Calligraphy,KANG YOUWEI,Unknown,Unknown,19.0,120.2,2283.8,China,1858-1927,1858,1927,1892,Traditional Chinese Art,Traditional Chinese Painting,6576,8768,7672,,
Landscape,RAO ZONGYI,Unknown,Unknown,18.0,133.4,2401.2,China,1917-2018,1917,2018,1968,Traditional Chinese Art,Traditional Chinese Painting,6576,8768,7672,8977,Medium
Five-character Calligraphic Couplet in Seal Script,RAO ZONGYI,Unknown,Unknown,228.8,51.0,11668.8,China,1917-2018,1917,2018,1968,Traditional Chinese Art,Traditional Chinese Painting,5480,7672,6576,33144,High
Five-character Poem by Su Shi in Regular Script,CHEN YINKE,Unknown,Unknown,122.3,40.2,4916.46,China,1890-1969,1890,1969,1930,Traditional Chinese Art,Traditional Chinese Painting,6576,8768,7672,22096,High
Bamboo and Rock,WU CHANGSHUO,Unknown,Unknown,138.0,48.5,6693.0,China,1844-1927,1844,1927,1886,Traditional Chinese Art,Traditional Chinese Painting,21921,32881,27401,35906,High
Ink Lotus,WU CHANGSHUO,Unknown,Unknown,78.0,38.5,3003.0,China,1844-1927,1844,1927,1886,Traditional Chinese Art,Traditional Chinese Painting,10960,21921,16440,15191,Medium
Wisteria and Rocks,WU CHANGSHUO,Unknown,Unknown,285.3,129.5,36946.35,China,1844-1927,1844,1927,1886,Traditional Chinese Art,Traditional Chinese Painting,43841,65762,54801,193340,Premium
Strolling Among Pine Trees,TANG YUN,Unknown,Unknown,130.0,69.0,8970.0,China,1910-1993,1910,1993,1952,Traditional Chinese Art,Traditional Chinese Painting,10960,21921,16440,55240,Premium
Mount Huang,LIU HAISU,Unknown,Unknown,136.3,68.4,9322.92,China,1896-1994,1896,1994,1945,Traditional Chinese Art,Traditional Chinese Painting,32881,54802,43841,33144,High
Peony,ZHU QIZHAN,Unknown,Unknown,68.0,68.0,4624.0,China,1892-1996,1892,1996,1944,Traditional Chinese Art,Traditional Chinese Painting,8768,16441,12604,22096,High
Misty Mount Huang,LIU HAISU,Unknown,Unknown,68.6,136.3,9350.18,China,1896-1994,1896,1994,1945,Traditional Chinese Art,Traditional Chinese Painting,32881,54802,43841,20715,High
Red Plum Blossom,LIU HAISU,Unknown,Unknown,178.0,79.0,14062.0,China,1896-1994,1896,1994,1945,Traditional Chinese Art,Traditional Chinese Painting,21921,32881,27401,30382,High
Night at Typhoon Shelter,DENG FEN,Unknown,Unknown,18.0,50.8,914.4,China,1894-1964,1894,1964,1929,Traditional Chinese Art,Traditional Chinese Painting,4384,6576,5480,6215,Medium
Tropical Fish,PU RU,Unknown,Unknown,18.5,52.0,962.0,China,1896-1963,1896,1963,1930,Traditional Chinese Art,Traditional Chinese Painting,6576,8768,7672,11048,Medium
Lotus / Calligraphy in Running Script,ZHANG DAQIAN,Unknown,Unknown,,,,China,1899-1983,1899,1983,1941,Traditional Chinese Art,Traditional Chinese Painting,19729,30689,25209,22096,High
Various Subjects,YU FEI'AN,Unknown,Unknown,24.5,67.0,1641.5,China,1888-1959,1888,1959,1924,Traditional Chinese Art,Traditional Chinese Painting,21921,32881,27401,103575,Premium
Flowers and Rock / Calligraphy,WU HUFAN,Unknown,Unknown,19.5,53.5,1043.25,China,1894-1968,1894,1968,1931,Traditional Chinese Art,Traditional Chinese Painting,8768,13152,10960,11048,Medium
Longevity,QI BAISHI,Unknown,Unknown,20.5,54.5,1117.25,China,1863-1957,1863,1957,1910,Traditional Chinese Art,Traditional Chinese Painting,10960,16441,13700,,
Flowers and insects,QI BAISHI,Unknown,Unknown,18.5,52.0,962.0,China,1863-1957,1863,1957,1910,Traditional Chinese Art,Traditional Chinese Painting,43841,65762,54801,52478,High
Sailing / Plum Blossoms,LU YANSHAO,Unknown,Unknown,18.0,65.6,1180.8,China,1909-1993,1909,1993,1951,Traditional Chinese Art,Traditional Chinese Painting,131524,197286,164405,117385,Premium
Landscapes / Calligraphy,QI KUN,Unknown,Unknown,19.0,49.0,931.0,China,1901-1944,1901,1944,1922,Traditional Chinese Art,Traditional Chinese Painting,5480,7672,6576,7596,Medium
Boating in Autumn River / Calligraphy,PU RU,Unknown,Unknown,17.6,43.5,765.6,China,1896-1963,1896,1963,1930,Traditional Chinese Art,Traditional Chinese Painting,19729,30689,25209,30382,High
Scholars by Riverside / Calligraphy,ZHU MEICUN,Unknown,Unknown,18.3,46.5,850.95,China,1911-1993,1911,1993,1952,Traditional Chinese Art,Traditional Chinese Painting,3288,5480,4384,6629,Medium
Landscape / Calligraphy,XIE ZHILIU,Unknown,Unknown,19.5,49.3,961.35,China,1910-1997,1910,1997,1954,Traditional Chinese Art,Traditional Chinese Painting,32881,54802,43841,,
Landscape,HUANG BINHONG,Unknown,Unknown,70.9,32.7,2318.43,China,1864-1955,1864,1955,1910,Traditional Chinese Art,Traditional Chinese Painting,109603,219207,164405,,
Autumn River,XIE ZHILIU,Unknown,Unknown,39.2,27.4,1074.08,China,1910-1997,1910,1997,1954,Traditional Chinese Art,Traditional Chinese Painting,54802,76722,65762,75955,Premium
Lotus,ZHANG DAQIAN,Unknown,Unknown,135.7,69.5,9431.15,China,1899-1983,1899,1983,1941,Traditional Chinese Art,Traditional Chinese Painting,164405,274009,219207,151910,Premium
The Canglong Ridge of the Hua Mountains,WU GUANZHONG,Unknown,Unknown,39.5,28.3,1117.85,China,1919-2010,1919,2010,1964,Traditional Chinese Art,Traditional Chinese Painting,32881,54802,43841,30382,High
Huangshan - Fairy Points the Way,WU GUANZHONG,Unknown,Unknown,71.1,47.2,3355.92,China,1919-2010,1919,2010,1964,Traditional Chinese Art,Traditional Chinese Painting,131524,197286,164405,117385,Premium
Chrysanthemums,LIN FENGMIAN,Unknown,Unknown,67.0,63.0,4221.0,China,1900-1991,1900,1991,1946,Traditional Chinese Art,Traditional Chinese Painting,284969,383612,334290,,
Lady Playing Qin,LIN FENGMIAN,Unknown,Unknown,68.0,65.1,4426.8,China,1900-1991,1900,1991,1946,Traditional Chinese Art,Traditional Chinese Painting,131524,241128,186326,138100,Premium
Small Village in the Forest,LIN FENGMIAN,Unknown,Unknown,67.7,68.6,4644.22,China,1900-1991,1900,1991,1946,Traditional Chinese Art,Traditional Chinese Painting,164405,274009,219207,345251,Premium
Sunrise over Guilin,WU GUANZHONG,Unknown,Unknown,35.3,54.1,1909.73,China,1919-2010,1919,2010,1964,Traditional Chinese Art,Traditional Chinese Painting,493216,712422,602819,1367303,Premium
Scenery at the Factory,GUAN LIANG,Unknown,Unknown,28.0,35.5,994.0,China,1900-1986,1900,1986,1943,Traditional Chinese Art,Traditional Chinese Painting,32881,54802,43841,,
Fish IV,DING YANYONG,Unknown,Unknown,29.7,39.8,1182.06,China,1902-1978,1902,1978,1940,Traditional Chinese Art,Traditional Chinese Painting,54802,76722,65762,151910,Premium
