Название,Имя художника,Стоимость,Примерная оценка,Материал,Размер,Страна,Период,Стиль,Жанр
"Kansas City There I Was, from Oo La La (with Ron Padgett)",JIM DINE AND RON PADGETT,USD 630,USD 500 - 700,N/A,451 x 699 mm,Unknown,B. 1935,Pop Art,Collaboration
Portrait,JIM DINE,USD 189,USD 500 - 700,N/A,149 x 124 in,United States,B. 1935,Pop Art,Mixed Media
Woodcut Self-Portrait,JIM DINE,USD 504,"USD 1,500 - 2,000",N/A,555 x 452 mm,United States,B. 1935,Pop Art,Mixed Media
"At Nite, The Thicket!",JIM DINE,"USD 2,142","USD 3,000 - 5,000",N/A,30 x 46 in,United States,B. 1935,Pop Art,Mixed Media
"Fisherman, from Black Palms",PETER DOIG,"USD 2,268","USD 1,000 - 1,500",N/A,879 x 692 mm,Scotland,B. 1959,Contemporary,Figurative
Loisirs,JEAN DUBUFFET,"USD 7,560","USD 2,000 - 3,000",N/A,410 x 518 mm,France,1901-1985,Art Brut,Abstract
Samedi tantôt,JEAN DUBUFFET,"USD 3,780","USD 6,000 - 8,000",N/A,549 x 403 mm,France,1901-1985,Art Brut,Abstract
"Villa Duplex, from Fables",JEAN DUBUFFET,"USD 2,142","USD 3,000 - 5,000",N/A,740 x 430 mm,France,1901-1985,Art Brut,Abstract
"Untitled, from Paroles Peintes",MAX ERNST,USD 630,"USD 800 - 1,200",N/A,276 x 197 mm,Germany,1891-1976,Surrealism,Abstract
"Rays, from Four Aquatints",ERIC FISCHL,USD 378,"USD 800 - 1,000",N/A,784 x 1140 mm,United States,B. 1948,Neo-expressionism,Figurative
"Autoportrait, le chat sur l'épaule",LÉONARD TSUGUHARU FOUJITA,"USD 2,142","USD 2,000 - 3,000",N/A,327 x 245 mm,France,1886-1968,Modernism,Figurative
"Untitled, from Prints for Phoenix House",ADOLPH GOTTLIEB,"USD 1,134","USD 1,500 - 2,000",N/A,597 x 448 mm,United States,1903-1974,Abstract Expressionism,Abstract
Gulf,PHILIP GUSTON,"USD 6,048","USD 2,000 - 3,000",N/A,816 x 1083 mm,Unknown,1913-1980,Unknown,Unknown
Reaper (a),RICHARD HAMILTON,USD 378,"USD 1,500 - 2,000",N/A,174 x 247 mm,United Kingdom,1922-2011,Pop Art,Abstract
Three Studies of Bloom,RICHARD HAMILTON,USD 252,"USD 1,000 - 1,500",N/A,350 x 470 mm,United Kingdom,1922-2011,Pop Art,Abstract
Almost There,AL HELD,USD 882,"USD 1,000 - 1,500",N/A,603 x 448 mm,United States,1928-2005,Abstract Expressionism,Geometric
"Picture of a pointless abstraction framed under glass, from A Hollywood Collection",DAVID HOCKNEY,"USD 2,520","USD 2,000 - 3,000",N/A,768 x 562 mm,United Kingdom,B. 1937,Pop Art,Landscape
"Early Evening in the Museum of Modern Art, from In the Museum of Modern Art",HOWARD HODGKIN,USD 504,"USD 1,000 - 1,500",N/A,743 x 975 mm,United Kingdom,1932-2017,Abstract Expressionism,Abstract
"All Alone in the Museum of Modern Art, from In the Museum of Modern Art",HOWARD HODGKIN,USD 378,"USD 800 - 1,200",N/A,752 x 1000 mm,United Kingdom,1932-2017,Abstract Expressionism,Abstract
DH in Hollywood,HOWARD HODGKIN,"USD 1,512","USD 1,500 - 2,000",watercolor,200 x 267 mm,United Kingdom,1932-2017,Abstract Expressionism,Abstract
After Lunch,HOWARD HODGKIN,USD 756,USD 500 - 700,N/A,570 x 765 mm,United Kingdom,1932-2017,Abstract Expressionism,Abstract
Classic Love,ROBERT INDIANA,"USD 5,040","USD 2,000 - 3,000",N/A,72 x 72 in,United States,1928-2018,Pop Art,Abstract
"Table Object, from Ten from Leo Castelli",DONALD JUDD,"USD 8,190","USD 7,000 - 10,000",N/A,514 x 667 mm,United States,1928-1994,Minimalism,Geometric
"Pear I (Poire I), from Suite of Plant Lithographs, 1964-66",ELLSWORTH KELLY,"USD 4,032","USD 3,000 - 5,000",N/A,546 x 387 mm,United States,1923-2015,Hard-edge Painting,Abstract
Puppy (Vase),JEFF KOONS,"USD 5,040","USD 5,000 - 7,000",N/A,273 x 368 mm,United States,B. 1955,Contemporary,Pop Art
Two prints by the artist,WIFREDO LAM,"USD 3,024","USD 1,000 - 1,500",N/A,210 x 320 mm,Unknown,1902-1982,Unknown,Unknown
"Fish and Sky, from Ten from Leo Castelli",ROY LICHTENSTEIN,"USD 6,930","USD 3,000 - 5,000",N/A,279 x 357 mm,United States,1923-1997,Pop Art,Comic Art
"Still Life with Pitcher and Flowers, from Six Still Lifes",ROY LICHTENSTEIN,"USD 22,680","USD 10,000 - 15,000",N/A,771 x 1152 mm,United States,1923-1997,Pop Art,Comic Art
"Poire et Rose, from Les Moyens d'Existence",AFTER RENÉ MAGRITTE,"USD 1,260","USD 2,000 - 3,000",N/A,159 x 105 mm,Belgium,1898-1967,Surrealism,Conceptual
Six prints by the artist,AFTER RENÉ MAGRITTE,"USD 4,788","USD 3,000 - 5,000",N/A,568 x 762 mm,Belgium,1898-1967,Surrealism,Conceptual
Lithographies II,AFTER RENÉ MAGRITTE,"USD 8,190","USD 5,000 - 7,000",N/A,781 x 558 mm,Belgium,1898-1967,Surrealism,Conceptual
Five Color Frame,ROBERT MANGOLD,"USD 2,772","USD 2,000 - 3,000",N/A,533 x 448 mm,United States,B. 1937,Minimalism,Geometric
Nu au fauteuil sur fond moucharabieh,HENRI MATISSE,"USD 12,600","USD 10,000 - 15,000",N/A,657 x 503 mm,France,1869-1954,Fauvism,Figurative
Vierge et enfant sur fond étoilé,HENRI MATISSE,"USD 8,820","USD 3,000 - 5,000",N/A,308 x 248 mm,France,1869-1954,Fauvism,Figurative
Paroles Peintes: one plate,ROBERTO MATTA,USD 378,"USD 1,000 - 1,500",N/A,181 x 260 mm,Chile,1911-2002,Surrealism,Abstract
La une à l'H pile,ROBERTO MATTA,"USD 2,520","USD 2,000 - 3,000",N/A,791 x 1489 mm,Chile,1911-2002,Surrealism,Abstract
"Plate VII, from Album 13",JOAN MIRÓ,"USD 4,032","USD 2,000 - 3,000",N/A,362 x 267 mm,Spain,1893-1983,Surrealism,Abstract
Pierrot le Fou,JOAN MIRÓ,"USD 11,970","USD 6,000 - 8,000",N/A,899 x 606 mm,Spain,1893-1983,Surrealism,Abstract
Homenatge a Joan Prats: one print,JOAN MIRÓ,"USD 10,710","USD 2,000 - 3,000",N/A,543 x 746 mm,Spain,1893-1983,Surrealism,Abstract
Little Tree,AFTER JOAN MITCHELL,"USD 1,386","USD 1,500 - 2,000",N/A,162 x 124 mm,United States,1925-1992,Abstract Expressionism,Abstract
Seated Figures,HENRY MOORE,"USD 4,032","USD 2,000 - 3,000",N/A,533 x 365 mm,United Kingdom,1898-1986,Modernism,Sculptural
Five Reclining Figures,HENRY MOORE,"USD 1,260","USD 800 - 1,200",N/A,276 x 435 mm,United Kingdom,1898-1986,Modernism,Sculptural
"Model, from Ten from Leo Castelli",ROBERT MORRIS,USD 252,"USD 700 - 1,000",N/A,584 x 16 mm,Unknown,1931-2018,Unknown,Unknown
Capriccio,ROBERT MOTHERWELL,USD 882,"USD 800 - 1,200",N/A,521 x 400 mm,United States,1915-1991,Abstract Expressionism,Abstract
"Madrid Suite F, from Madrid Suite",ROBERT MOTHERWELL,USD 756,"USD 800 - 1,200",N/A,495 x 635 mm,United States,1915-1991,Abstract Expressionism,Abstract
"Pauillac, #1, from Summer Light Series",ROBERT MOTHERWELL,"USD 1,134","USD 1,000 - 1,500",N/A,826 x 451 mm,United States,1915-1991,Abstract Expressionism,Abstract
Beau Geste pour Lucrèce,ROBERT MOTHERWELL,"USD 2,268","USD 2,000 - 3,000",N/A,22 x 15 in,United States,1915-1991,Abstract Expressionism,Abstract
TV Clown,BRUCE NAUMAN,"USD 1,890","USD 3,000 - 5,000",N/A,764 x 1118 mm,United States,B. 1941,Conceptual Art,Multimedia
Symphony Three,LOUISE NEVELSON,"USD 7,560","USD 5,000 - 7,000",N/A,460 x 51 mm,United States,1899-1988,Abstract Expressionism,Sculpture
Twin Planes,KENNETH NOLAND,"USD 6,930","USD 3,000 - 5,000",N/A,159 x 1499 mm,United States,1924-2010,Color Field,Abstract
The Branch,BROR JULIUS OLSSON NORDFELDT,"USD 2,520","USD 1,500 - 2,500",N/A,286 x 203 mm,United States,1878-1955,Modernism,Landscape
The Quarry,BROR JULIUS OLSSON NORDFELDT,"USD 2,142","USD 1,500 - 2,500",N/A,205 x 288 mm,United States,1878-1955,Modernism,Landscape
Snare Drum,CLAES OLDENBURG,USD 882,"USD 800 - 1,200",N/A,321 x 356 mm,United States,1929-2022,Pop Art,Sculptural
Bust,CLAES OLDENBURG,USD 630,"USD 1,000 - 1,500",N/A,514 x 368 mm,United States,1929-2022,Pop Art,Sculptural
Two Profiles,CLAES OLDENBURG,USD 630,"USD 2,000 - 3,000",N/A,502 x 670 mm,United States,1929-2022,Pop Art,Sculptural
"Figure in Skirt, with Phallus I",CLAES OLDENBURG,USD 756,"USD 2,000 - 3,000",N/A,499 x 597 mm,United States,1929-2022,Pop Art,Sculptural
Two Prints by the Artist,CLAES OLDENBURG,USD 378,"USD 1,500 - 2,000",N/A,505 x 603 mm,United States,1929-2022,Pop Art,Sculptural
Two prints by the artist,CLAES OLDENBURG,USD 189,"USD 2,000 - 3,000",N/A,1041 x 790 mm,United States,1929-2022,Pop Art,Sculptural
"Hats, Bones, Q's, Etc.",CLAES OLDENBURG,USD 252,USD 400 - 600,N/A,270 x 200 mm,United States,1929-2022,Pop Art,Sculptural
"La Toilette de la mère, from La Suite des Saltimbanques",PABLO PICASSO,,"USD 5,000 - 7,000",N/A,238 x 178 mm,Spain,1881-1973,Cubism,Abstract
La Suite Vollard: two prints,PABLO PICASSO,"USD 6,930","USD 6,000 - 8,000",N/A,311 x 222 mm,Spain,1881-1973,Cubism,Abstract
L'Atelier,PABLO PICASSO,,"USD 5,000 - 7,000",N/A,346 x 394 mm,Spain,1881-1973,Cubism,Abstract
"Sculpteur, modèle couché et sculpture, from La Suite Vollard",PABLO PICASSO,"USD 9,450","USD 6,000 - 8,000",N/A,267 x 193 mm,Spain,1881-1973,Cubism,Abstract
La Suite Vollard: three prints,PABLO PICASSO,"USD 7,560","USD 7,000 - 10,000",N/A,435 x 340 mm,Spain,1881-1973,Cubism,Abstract
La Suite Vollard: two prints,PABLO PICASSO,"USD 9,450","USD 8,000 - 12,000",N/A,378 x 298 mm,Spain,1881-1973,Cubism,Abstract
"Minotaure aveugle guidé par une Fillette, II, from La Suite Vollard",PABLO PICASSO,"USD 10,080","USD 7,000 - 10,000",N/A,238 x 299 mm,Spain,1881-1973,Cubism,Abstract
Tête d'Histrion (Le Danseur),PABLO PICASSO,"USD 22,680","USD 5,000 - 7,000",N/A,641 x 527 mm,Spain,1881-1973,Cubism,Abstract
Paysannes à l'herbe,CAMILLE PISSARRO,"USD 8,820","USD 2,000 - 3,000",N/A,118 x 159 mm,France,1830-1903,Impressionism,Landscape
"Une Rue aux Patis, Pontoise",CAMILLE PISSARRO,"USD 1,890","USD 1,800 - 2,400",N/A,264 x 216 mm,France,1830-1903,Impressionism,Landscape
La Charrue: two prints,CAMILLE PISSARRO,"USD 2,772","USD 3,000 - 5,000",N/A,225 x 152 mm,France,1830-1903,Impressionism,Landscape
Marché à Pontoise,CAMILLE PISSARRO,"USD 3,528","USD 2,000 - 3,000",N/A,299 x 225 mm,France,1830-1903,Impressionism,Landscape
Sfera per Galerie Kriwin,ARNALDO POMODORO,"USD 15,120","USD 8,000 - 12,000",N/A,6 x 6 in,Italy,B. 1926,Modernism,Sculptural
Stunt Man II,ROBERT RAUSCHENBERG,"USD 2,016","USD 3,000 - 5,000",N/A,450 x 343 mm,United States,1925-2008,Pop Art,Mixed Media
Untitled (No Intoxicating Liquors on the Beach),ROBERT RAUSCHENBERG,"USD 1,386","USD 800 - 1,200",N/A,N/A,United States,1925-2008,Pop Art,Mixed Media
Opal Gospel,ROBERT RAUSCHENBERG,"USD 1,890","USD 3,000 - 5,000",acrylic,18 x 20 in,United States,1925-2008,Pop Art,Mixed Media
The Razorback Bunch: Etching II,ROBERT RAUSCHENBERG,"USD 1,638","USD 1,000 - 1,500",N/A,959 x 473 mm,United States,1925-2008,Pop Art,Mixed Media
Street Sounds,ROBERT RAUSCHENBERG,"USD 2,268","USD 2,000 - 3,000",N/A,1168 x 1400 mm,United States,1925-2008,Pop Art,Mixed Media
Little Italy,RED GROOMS,"USD 1,890","USD 3,000 - 5,000",N/A,975 x 419 mm,United States,B. 1937,Pop Art,Figurative
Traffic!,RED GROOMS,"USD 1,890","USD 1,000 - 1,500",N/A,720 x 254 mm,United States,B. 1937,Pop Art,Figurative
Matisse In Tangiers,RED GROOMS,"USD 2,268","USD 1,000 - 1,500",N/A,959 x 752 mm,United States,B. 1937,Pop Art,Figurative
Extra! Extra! Read All About It!,RED GROOMS,"USD 3,024","USD 2,000 - 3,000",N/A,679 x 267 mm,United States,B. 1937,Pop Art,Figurative
Deli,RED GROOMS,"USD 6,930","USD 2,000 - 3,000",N/A,746 x 248 mm,United States,B. 1937,Pop Art,Figurative
Ruckus Tugboat,RED GROOMS,"USD 3,780","USD 3,000 - 5,000",N/A,612 x 428 mm,United States,B. 1937,Pop Art,Figurative
Three prints by the artist,PIERRE-AUGUSTE RENOIR,"USD 6,300","USD 6,000 - 8,000",N/A,325 x 252 mm,France,1841-1919,Impressionism,Figurative
Two prints by the artist,PIERRE-AUGUSTE RENOIR,"USD 5,292","USD 2,500 - 3,500",N/A,453 x 285 mm,France,1841-1919,Impressionism,Figurative
"Le Chapeau épinglé, 2è planche",PIERRE-AUGUSTE RENOIR,"USD 12,600","USD 5,000 - 7,000",N/A,619 x 486 mm,France,1841-1919,Impressionism,Figurative
L'Album des Douze lithographies originales de Pierre-Auguste Renoir,PIERRE-AUGUSTE RENOIR,"USD 11,340","USD 4,000 - 6,000",N/A,330 x 250 mm,France,1841-1919,Impressionism,Figurative
El Niño del taco,DIEGO RIVERA,"USD 4,410","USD 4,000 - 6,000",N/A,419 x 302 mm,Mexico,1886-1957,Mexican Muralism,Social Realism
"John Adams Rosenquist, Heir Apparent",JAMES ROSENQUIST,USD 252,USD 500 - 700,N/A,301 x 250 mm,United States,1933-2017,Pop Art,Collage
Four prints by the artist,JAMES ROSENQUIST,,"USD 5,000 - 7,000",N/A,781 x 511 mm,United States,1933-2017,Pop Art,Collage
The Light Bulb Shining,JAMES ROSENQUIST,"USD 4,032","USD 3,000 - 5,000",N/A,1210 x 946 mm,United States,1933-2017,Pop Art,Collage
Poets Bust,DIETER ROTH,USD 252,USD 600 - 800,N/A,330 x 505 mm,Germany,1930-1998,Fluxus,Experimental
"Berlin 1, from German Cities",DIETER ROTH,USD 378,"USD 2,000 - 3,000",N/A,549 x 772 mm,Germany,1930-1998,Fluxus,Experimental
Double Quartet,DIETER ROTH,USD 882,USD 600 - 800,N/A,800 x 616 mm,Germany,1930-1998,Fluxus,Experimental
"Laquais, from Les Fleurs du Mal",GEORGES ROUAULT,"USD 1,008","USD 1,000 - 1,500",N/A,314 x 216 mm,France,1871-1958,Expressionism,Religious
Eleven prints by the artist,GEORGES ROUAULT,"USD 1,260","USD 2,000 - 3,000",N/A,314 x 220 mm,France,1871-1958,Expressionism,Religious
"La Source, from L'album du paysage",KER-XAVIER ROUSSEL,,"USD 1,500 - 2,500",N/A,314 x 412 mm,France,1867-1944,Post-Impressionism,Figurative
Manitou,LUDWIG SANDER,USD 882,USD 400 - 600,N/A,559 x 501 mm,United States,1906–1975,Abstract Expressionism,Abstract
Three prints by the artist,GEORGE SEGAL,"USD 1,638","USD 1,000 - 1,500",N/A,758 x 559 mm,United States,1924-2000,Pop Art,Sculptural
Two prints by the artist,ARMAND SEGUIN,"USD 3,528","USD 2,000 - 3,000",N/A,400 x 232 mm,France,1869-1904,Post-Impressionism,Figurative
"Fortín de las Flores (First Version), from Ten From Leo Castelli",FRANK STELLA,"USD 9,450","USD 3,000 - 5,000",N/A,435 x 559 mm,United States,1936-2024,Minimalism,Abstract
Aluminum Series: two prints,FRANK STELLA,"USD 2,016","USD 4,000 - 6,000",N/A,286 x 219 mm,United States,1936-2024,Minimalism,Abstract
Two prints by the artist,JAMES JACQUES JOSEPH TISSOT,"USD 5,040","USD 4,000 - 6,000",N/A,251 x 356 mm,France,1836-1906,Realism,Portraiture
Clarte I and II,MARK TOBEY,USD 378,"USD 1,000 - 1,500",N/A,335 x 220 mm,Unknown,1890-1976,Unknown,Unknown
Two prints by the artist,HENRI DE TOULOUSE-LAUTREC,"USD 2,520","USD 2,500 - 3,500",N/A,343 x 540 mm,France,1864-1901,Post-Impressionism,Portraits and Posters
May Milton,HENRI DE TOULOUSE-LAUTREC,"USD 5,040","USD 5,000 - 7,000",N/A,803 x 619 mm,France,1864-1901,Post-Impressionism,Portraits and Posters
Cycle Michael,HENRI DE TOULOUSE-LAUTREC,"USD 3,024","USD 3,000 - 5,000",N/A,876 x 1241 mm,France,1864-1901,Post-Impressionism,Portraits and Posters
A group of three prints,VARIOUS ARTISTS,,"USD 4,000 - 6,000",N/A,498 x 584 mm,Unknown,Период не найден,Unknown,Unknown
Flight,VARIOUS ARTISTS,"USD 9,450","USD 6,000 - 8,000",N/A,545 x 35 mm,Unknown,Период не найден,Unknown,Unknown
Two prints by the artist,JACQUES VILLON,"USD 3,276","USD 2,500 - 3,500",N/A,499 x 416 mm,France,1875-1963,Cubism,Abstract
"La Couturière, from La Revue blanche",EDOUARD VUILLARD,"USD 1,890","USD 2,000 - 3,000",N/A,241 x 162 mm,France,1868-1940,Post-Impressionism,Domestic Scenes
"The Beggars, from First Venice Set ",JAMES MCNEILL WHISTLER,"USD 9,450","USD 3,000 - 5,000",N/A,308 x 213 mm,United States,1834-1903,Tonalism,Portrait and Landscape
The Garden,JAMES MCNEILL WHISTLER,"USD 17,640","USD 10,000 - 15,000",N/A,305 x 235 mm,United States,1834-1903,Tonalism,Portrait and Landscape
The Rialto,JAMES MCNEILL WHISTLER,"USD 2,520","USD 3,000 - 5,000",N/A,297 x 202 mm,United States,1834-1903,Tonalism,Portrait and Landscape
"Nocturne, from First Venice Set",JAMES MCNEILL WHISTLER,"USD 27,720","USD 20,000 - 30,000",N/A,203 x 297 mm,United States,1834-1903,Tonalism,Portrait and Landscape
"Riva, No. 2, from Second Venice Set",JAMES MCNEILL WHISTLER,,"USD 5,000 - 7,000",N/A,206 x 305 mm,United States,1834-1903,Tonalism,Portrait and Landscape
"The Traghetto, No. 2",JAMES MCNEILL WHISTLER,"USD 2,520","USD 3,000 - 5,000",N/A,240 x 305 mm,United States,1834-1903,Tonalism,Portrait and Landscape
"Edward G. Kennedy, 1910",THE ETCHED WORK OF WHISTLER,"USD 9,450","USD 800 - 1,200",N/A,N/A,Unknown,Период не найден,Unknown,Unknown
